id;prty_fk;frst_cntry_frmt;frst_continent;scnd_cntry_frmt;scnd_continent;thrd_cntry_frmt;thrd_continent;frth_cntry_frmt;frth_continent;tech_lineage;tech_created_date;tech_updated_date;tech_mapping;tech_comment
1;painfully;judgementally proud;bud;gracefully perfectly upward;however over;invoke strand;ugh ridge;darn provided;tiny genuflect emcee;dimple without bustling;2024-04-16;2024-04-16;but revert guess;fax blissfully in
2;um colorfully flickering;envy;squiggly ah;disbar;freelance;from ouch regime;tasty;who lawmaker knottily;deceivingly cuddly;billing pish;2024-04-16;2024-04-16;unnecessarily den;among digitalize extremist
3;tilt as furthermore;fooey stealthily;dirty even beyond;retrofit halloween frequent;input wrap;and;faint hull completion;yowza consequently;if fall;reluctantly incidentally;2024-04-15;2024-04-16;impassioned;without where breakfast
4;who;viciously daintily;geez;after;awkward edge oleo;chef testy trusting;gosh whether;concerning depopulate;slimy oscillate regularly;correctly;2024-04-16;2024-04-15;doodle um;tempting phooey repatriate
5;aw closely;uselessly shin abnormally;dolor flirt;who;lightly close;gosh before frenetically;vend;ignorant;phew;finally yowza shadowy;2024-04-16;2024-04-16;apud linear;on yowza
6;more huzzah enfeeble;between tenderly;through;dispossess whether yowza;fervently kiddingly digitalise;bashfully optimistic;grunt pish shroom;duh;meringue polish;save;2024-04-16;2024-04-16;bah poverty;till
7;hotel;uh-huh frequency chubby;upside-down digit;oh;atop;ack hence topic;questioningly staid;notwithstanding;circa excluding;phew uh-huh;2024-04-16;2024-04-16;franchise limited optimistically;times
8;ah for among;zowie er;woot evenly;hmph lest;strand;grouchy despite;favorable unite suspicious;below;shakily;worse during;2024-04-16;2024-04-16;response only carom;wherever
9;sphynx as unless;career and consequently;and hastily;furthermore desert following;requirement psst woeful;tomb;whose constrict;incidentally;generate triumphantly beach;conversation;2024-04-16;2024-04-16;from;clueless austere impossible
10;geez while hm;irritating android;sorrowful;rivulet;among;worthy;when;relapse wherever;propagandize against;for and;2024-04-15;2024-04-16;increase apropos by;earmuffs barring interestingly
