id;prty_fk;frst_ntnlt_frmt;frst_continent;scnd_ntnlt_frmt;scnd_continent;thrd_ntnlt_frmt;thrd_continent;frth_ntnlt_frmt;frth_continent;tech_lineage;tech_created_date;tech_updated_date;tech_mapping;tech_comment
1;brr;psst boo evenly;playful fooey gadzooks;glisten;overdue yahoo aromatic;psst button;provided;organize because rake;yippee;ack artistic;2024-04-16;2024-04-16;jaggedly prince;irritably aboard boohoo
2;ah;than yuck;blah;oh an plus;sympathetically although;though;barring;dapper huzzah and;correctly average through;clear-cut woot;2024-04-16;2024-04-16;blowgun viciously when;menace successfully
3;boutique;ugh;to succumb;twinkle;curtsy;for scare pish;on speech;inch amidst;deceivingly wavy;grotesque but;2024-04-16;2024-04-16;irritably never;woot formal
4;lament;frenetically antique;until;kiss loudly ouch;sudden nurse simplification;overpay;nominate modernist;pure;hourly why;busily;2024-04-16;2024-04-16;interface moth arid;while disgorge
5;er;readjust brr;ugh;famously ugh;anguished;yowza vice;tomorrow commonly and;fearless aha;underneath toward criminal;lest yum;2024-04-16;2024-04-15;slurp theorize;watchmaker
6;senator chairlift unusual;nab ick off;swiftly malice mid;after;considering oof;famously soon;whose yippee whoa;for;usually throng;boolean scallops;2024-04-16;2024-04-15;with;ha of
7;aha mishit;fully full;wonderful behind how;outfit because multicast;than;excluding till;until;considering;horn abnormally to;pastel;2024-04-15;2024-04-16;geez;gah that incredible
8;fast boo;viciously puritan;vivaciously via booster;weather;perky pfft;oof yowza unless;likewise tasty;forenenst lisp before;twig above uh-huh;accidentally alongside sugar;2024-04-16;2024-04-15;inasmuch segment usefully;playfully meanwhile
9;reactivate;teeming leash;ladder modulo;rightfully menacing terrarium;queasily incidentally;towards;however melatonin;knowingly;qua;vandalise wherever large;2024-04-16;2024-04-16;impala cop-out behind;neatly chimpanzee
10;yowza but;phew but brr;that hopelessly;to huzzah colorfully;ouch;about on boohoo;salsa;enrage once;ack;lemon pilfer;2024-04-16;2024-04-16;dismantle;frequency because refinance
