id;num_ligne;resort;resv_name_id;client_o_id;type_chb;business_date;num_ordre;confirmation_no;client_mdm_id;name_id;name_id_ligne;contact_id;agence_id;agence_nom;societe_id;groupe_id;membre_id;source_profile_id;num_bloc;statut_resv;statut_vip;date_debut_ligne;date_fin_ligne;date_fin_origine;date_ann;pseudo_room_yn;complementaire_yn;interne_yn;walkin_yn;createur_resv;nom_createur_resv;code_pays;lib_pays;code_nationalite;lib_nationalite;code_source;lib_source;code_grand_source;code_origine;lib_origine;code_marche;lib_marche;code_grand_marche;lib_grand_marche;code_prix;categ_prix;lib_prix;num_chb;type_chb_ligne;description_type_chb;code_type_chb;class_chb;statut_chb_resv;type_chb_de_reservation;description_type_chb_de_resv;code_type_chb_de_resv;circuit_distribution;circuit_distrib_user_regroup;nb_resv_ann;nb_nuitee;nb_nuitee_nn_ded;nb_nuitee_global;nb_occupation_multiple;nb_adu_global;nb_enf_global;nb_pers_day_u_global;nb_pers_arr_global;nb_pers_dep_global;nb_pers_ann;nb_pers_noshow;nb_chb_day_u_global;nb_chb_arr_global;nb_chb_dep_global;nb_chb_ann;nb_chb_noshow;revenu_net_chambre_global;revenu_taxe_chambre_global;revenu_net_bq_global;revenu_taxe_bq_global;revenu_net_extra_global;revenu_taxe_extra_global;revenu_net_total_global;revenu_taxe_total_global;prod_revenu_chambre;prod_revenu_bq;prod_revenu_extra;prod_revenu_total;prod_chambre_nb_nuitees;dates_sejour_rens_yn;tech_event_type;tech_resv_inv_type;tech_origine;tech_grp_num_ordre;tech_create_date;tech_update_date;resv_name_id_principal
1;8018;whoa odd without;3945;duh molecule;succour zipper;2024-04-16;19395;sourwood;saloon;4418;31806;14350;3941;reappraise barring fast;22953;16015;20814;32015;3832;hence;yearningly furthermore over;2024-04-16;2024-04-16;2024-04-16;2024-04-16;exile after delightfully;lean;duckie;by;12158;oddly;traumatize happily preach;old minus;traverse;toward smoothly;basil;if the;reef;gosh frail outside;bitterly so flowery;now though underneath;mockingly;tectonics;violent loosely;yet;bandolier;dungeon kindly dishwasher;strong astride electric;now equally smelt;phew;even between that;instead which peasant;any yowza;amongst amidst wide-eyed;that trade;miserably underwrite unethically;incinerate ha what;zowie;15743;29103;20204;18238;17709;11350;22817;9829;24955;12115;25284;5190;30868;5549;4514;3325;3278;13364;13123;15242;18953;4184;1105;28523;6042;20791;23413;17350;29037;25811;nightmare glaring during;contributor irritably;drat mid ha;yuck emotional moist;12845;2024-04-16;2024-04-16;11738
2;20594;queasily;21020;recall;infatuated;2024-04-16;3026;parse;aboard wan up;2368;16957;2137;6720;punctual;10890;2690;22686;28854;30017;whether in;fatally phooey robe;2024-04-16;2024-04-16;2024-04-16;2024-04-16;yet ick likewise;unlike understated;electric;unwieldy kindheartedly punctually;1671;polo usually;reckless interlink;ouch favorable;amid;indulge;unless by grill;horn;turret long;till until pish;gadzooks phew;lovingly;until major;amidst assist;before big-hearted;briskly;mmm gah amidst;mature;if;legislature nationalise kibitz;gah alongside until;divine acidly;intelligent;between;above;gladly;square phooey;um brr trifling;amongst whereas;29410;24309;26099;22766;1898;31466;14504;17159;8187;20984;29381;19848;7264;20449;3692;14175;6047;23410;25539;3335;26451;13102;6000;8130;31543;2977;31544;5883;20431;21090;foam whether;meaningfully;sass;aside whoa;17922;2024-04-16;2024-04-15;31411
3;16649;poster hence loudly;17946;stultify;blissful sage;2024-04-15;30913;luxurious;guilt vicious;12687;14423;23364;2733;ocelot;32477;23956;21444;22572;12403;spaghetti slowly oof;thumb true;2024-04-16;2024-04-16;2024-04-16;2024-04-16;defer save;joggle;huzzah elicit gently;behind while browsing;14154;boo from retrace;oh;frenzy;to kindheartedly vista;poke union program;too;country stable grid;upliftingly;oh tightly;alongside quicker;lens whoa if;threadbare reassign;reef;inasmuch youthfully gnaw;yuck while hero;evenly;within satire;grandmom;semaphore jell rinse;chastise cultivate angelic;against while;geez;ecstatic clear ha;short match drat;strident youthful ack;what pace;phew breakfast furthermore;clear-cut showy through;19676;23710;15426;25603;19988;3217;16260;29593;17907;16795;7723;10164;17103;1288;17331;19953;32074;17852;24116;3862;24975;27900;32575;20454;27160;12824;27021;1759;30368;26100;aha;metamorphose;gah famously;until ridge;16449;2024-04-16;2024-04-16;21424
4;19695;blond;18214;discredit;excepting;2024-04-16;19649;burst;sternly thankfully;8211;15518;133;6927;than prejudge;518;25501;787;17354;28113;sense yieldingly;provision taxicab following;2024-04-16;2024-04-16;2024-04-16;2024-04-16;provided cultured following;unexpectedly gosh think;conventional official elderly;loftily;15756;meanwhile;clam obnoxiously;mediocre;innocently;loincloth qua when;smith expurgate;imperfect;yahoo;fixture grandmother optimistically;calcify loyally cosh;chirp longingly;after aromatic;nourishment coupon yurt;rigidly even ferociously;and;zoom astride;once during muscle;quizzically till;why aged bulky;why courageously equal;pace considering patrol;zowie speedily tinted;duh how yum;ew because peanut;overview whose;souvenir;hastily maintenance familiarise;major squatter;31822;1533;25854;31233;5625;16417;18607;31500;15281;23020;18958;18591;7204;10759;28753;18823;26078;1970;31403;6319;2683;337;25392;21173;29217;16554;8542;15357;27147;19284;spurn;constant;glamorise sneakers;supposing;21075;2024-04-15;2024-04-16;12405
5;8320;courtroom considering identical;28583;despite furthermore round;ugh;2024-04-15;22559;so more;monstrous;32528;18252;3328;1571;by pish including;23756;19116;29632;6881;4229;likable flavour beyond;gosh;2024-04-16;2024-04-16;2024-04-16;2024-04-16;fooey handmaiden;spry;why so and;searchingly;30212;twitter strictly;solemnize;with individual;if;crochet chess;marionberry smile;constant inconvenience vacant;belabour ah;after productive;pfft gee;amid er;bark wilted;after seriously rudely;terribly;dry perky through;eventually;that however afterwards;wire wherever archaeologist;misinterpret;forenenst until;action lest coaxingly;when sticky;apud;triumphantly amidst;politely however nor;depopulate file betoken;guideline entity mid;now;4971;21941;16282;1958;17342;6937;32055;12859;756;13698;16305;25740;30426;23408;28894;27882;12616;20017;9448;10893;23419;15247;26359;14260;17582;12046;23670;31102;1030;14248;seriously versus mostly;bony exalted;dough;fling;9652;2024-04-16;2024-04-16;22738
6;12892;rapidly daintily below;23545;trembling;slimy while;2024-04-15;15880;fooey luxurious huzzah;why devoted boyhood;28840;10824;28410;14177;gosh;30032;25872;23517;16294;8537;aw but;passenger phew greedily;2024-04-16;2024-04-16;2024-04-15;2024-04-15;near;apt while skating;since provided meaningfully;source er oof;26959;ugh kindly potentially;inside virtuous hmph;correctly limping fussy;aside kindheartedly meh;whose boss;around meh;which along;shady;merrily;volunteer by instantly;needily inasmuch;whoa whether monasticism;vice tag boo;um psst;towards;in drat;boring sympathetically;chilly extroverted;hourly but inquiry;weasel;excuse lest whether;questionable lest;nor;ew pulse ouch;er where;incidentally;arrange before ack;shakily successfully peony;1931;17484;25181;11172;2360;7955;9358;12824;13958;15821;3524;4001;14158;24969;454;17851;3772;11796;1378;7313;7214;27863;25651;23045;10391;31580;17366;12101;8571;65;rim hm;creative thaw;definite abdomen yowza;aw understated;31790;2024-04-15;2024-04-16;23946
7;23801;spirituality pish deregulate;13711;elated yum er;reset;2024-04-16;21611;down the vastly;pad;14303;24700;7222;16016;inconvenience violently ouch;19453;25979;25257;6430;19182;yum ginger;coaxingly formula;2024-04-16;2024-04-15;2024-04-16;2024-04-16;biff;throughout;zero mortar;defray;25517;ew;athwart;cluster magnetise;chauffeur expensive;provided;agreeable nor tongue;gadzooks;as;reluctantly;across apud;strudel nimble;towards boo;inequality;hm;inasmuch;deceivingly er;wallop hence near;agonizing unethically bah;afterwards geez outside;submerge;because;back wisely;lard;ligula whereas;where;drawl argue inasmuch;kiss;bug after;4089;11453;22660;24848;30319;18981;6687;3746;23889;12919;12897;4484;9191;28915;21184;7998;20945;30132;22669;22900;14633;15325;15312;16462;19404;19570;11968;21479;14831;25799;huzzah;whoa off;willfully per;along once;1085;2024-04-16;2024-04-16;22951
8;13143;precious joshingly;17866;frozen blah nor;descriptive minus;2024-04-16;3850;astride;glittering partially;6509;27880;10727;27156;runny;28914;10747;15817;433;2319;incidentally willfully;which torte as;2024-04-16;2024-04-16;2024-04-16;2024-04-16;synthesis bijou tweezers;phew that yearly;hardship opossum;underperform that yahoo;17201;knowingly fax;ack questionable smooch;skewer aboard brr;along;obvious;relax er labor;versus acidly malnutrition;breach ouch lovely;overeat factorise;gee;abaft;structure jovially;thatch ugh;which ouch;beyond ha which;whoever yuck;adjoin overestimate;between why obstruct;loyally whereas even;or intimidate;until toenail meanwhile;ouch until;likewise;woefully;till;unless;phew before each;elaborate prayer;24430;27792;25235;14709;20193;31888;17015;28478;14673;16623;25154;22466;24858;991;19764;24505;26856;21690;2154;24285;7966;15304;19841;14402;16610;4364;14971;11842;1919;16262;courageously underwire;playfully;in hmph;unsightly inside;12727;2024-04-16;2024-04-16;4183
9;9562;overact scuffle likewise;17414;moisturise;entire overconfidently difficult;2024-04-15;29822;kite now beneath;loudly academic perfectly;13369;2339;3951;23516;wreak jaggedly yum;20185;24111;3722;16040;17155;while uh-huh properly;pish lionise duh;2024-04-16;2024-04-16;2024-04-16;2024-04-16;systematise ick;to uh-huh;amongst fooey cube;soon;4615;extremely decryption;drat;yippee meatloaf;busily jaggedly sympathetic;sideswipe deceivingly;angle behind;blah pegboard;warlike;aha accomplishment;properly;class;where failing;per whereas concrete;our imbue;beyond pigpen for;vacant truthfully across;beyond rattle;round busy sniveling;athwart monthly pastor;gut avoid;down notoriety equality;winch yet meanwhile;euphonium;glistening frequency drat;yet;excepting quarrelsomely safety;old-fashioned phew;consideration;13813;18362;653;28721;6847;20255;30414;11629;19503;13630;7022;3973;4856;10482;21515;24364;2334;7501;4752;24330;30061;4776;32729;12731;20496;32312;18077;31497;10033;10428;pertinent advice;epee respectful tap;hook conformation phew;supposing;7893;2024-04-15;2024-04-16;25146
10;4502;slowly detest aw;1407;vainly complicated yuck;hm lazily;2024-04-15;8593;windy now boo;yet unsightly;31618;8173;21790;31634;unlike outside;3690;16568;8363;22655;5466;circa boo;amongst;2024-04-15;2024-04-16;2024-04-16;2024-04-16;pickax um glittering;hmph given tame;below coaxingly;house uh-huh;32352;often glass unhappy;concerning defiantly um;primary limp;print;as;sad equivocate;unwitting stabilise chrome;pro and;incidentally gland;concerning busily than;eek highly;too deeply but;oh nutty certificate;concrete;epitomise retreat pfft;hurdle eek;fooey;altruistic ha weasel;ew reporting;uh-huh;lamp successfully;pfft;dangerous joyously;deficient hobnob whispered;sojourn;jealously ostrich;communication virtue minus;pilfer;19162;6454;22992;4022;2509;17078;20660;29467;18721;8023;25402;7032;1392;9046;32713;27481;20249;29594;4777;7292;29429;8100;5369;3845;8166;1323;30006;23360;8917;25571;hence;unless;slight;sunny fully;23994;2024-04-16;2024-04-16;19176
